,Word,Rating,Year,Ship,Line,Negative,Positive,Total
2015,disappointments entertainment,good,2011,MSC Splendida,Msc,1.0,0.0,1.0
2016,disco,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2017,disco club,bad,2013,MSC Poesia,Msc,1.0,0.0,1.0
2018,discos,good,2013,MSC Divina,Msc,1.0,0.0,1.0
2019,discourteous manner,bad,2014,MSC Fantasia,Msc,1.0,0.0,1.0
2020,disembarkation procedure,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2021,disembarkation procedures,bad,2012,MSC Fantasia,Msc,1.0,0.0,1.0
2022,disgrace,bad,2012,MSC Opera,Msc,1.0,0.0,1.0
2023,disgruntled passengers,bad,2008,MSC Musica,Msc,1.0,0.0,1.0
2024,disgruntled passengers,bad,2009,MSC Poesia,Msc,1.0,0.0,1.0
2025,disgusting curtain,bad,2013,MSC Armonia,Msc,1.0,0.0,1.0
2026,disgusting display,bad,2013,MSC Divina,Msc,1.0,0.0,1.0
2027,dishes blobs,bad,2012,MSC Splendida,Msc,1.0,0.0,1.0
2028,disinterested italian doctor,bad,2010,MSC Magnifica,Msc,1.0,0.0,1.0
2029,dismal buffet,bad,2009,MSC Poesia,Msc,1.0,0.0,1.0
2030,disorganized presentation,bad,2013,MSC Divina,Msc,1.0,0.0,1.0
2031,disruptive children,good,2011,MSC Poesia,Msc,1.0,0.0,1.0
2032,dissapointed guests,bad,2012,MSC Poesia,Msc,1.0,0.0,1.0
2033,dissatisfied passenger,bad,2012,MSC Fantasia,Msc,1.0,0.0,1.0
2034,distant future,good,2014,MSC Sinfonia,Msc,0.0,1.0,1.0
2035,dive shop dive,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2036,diverse group,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2037,divina,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
2038,divina,good,2014,MSC Divina,Msc,0.0,2.0,2.0
2039,divina buffet,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2040,divina cruise,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2041,divina shines,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2042,divina staff,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
2043,divine divina,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2044,dj happy valentines,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2045,docks msc,good,2013,MSC Opera,Msc,0.0,1.0,1.0
2046,dollar,bad,2011,MSC Magnifica,Msc,0.0,1.0,1.0
2047,dollar west end,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2048,dollars not euros,bad,2013,MSC Lirica,Msc,1.0,0.0,1.0
2049,donkey ride,good,2011,MSC Musica,Msc,1.0,0.0,1.0
2050,door key,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
2051,doremi packages,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2052,double bed,good,2013,MSC Preziosa,Msc,0.0,1.0,1.0
2053,doubt msc,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2054,doubt msc fantasia,bad,2014,MSC Fantasia,Msc,1.0,0.0,1.0
2055,downside,good,2014,MSC Lirica,Msc,1.0,0.0,1.0
2056,dozen cruises,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2057,dozen reviews,good,2012,MSC Fantasia,Msc,1.0,0.0,1.0
2058,drab pasta,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
2059,draft beer,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2060,drag queen parties,bad,2013,MSC Divina,Msc,1.0,0.0,1.0
2061,draught beer,good,2012,MSC Armonia,Msc,0.0,1.0,1.0
2062,drawnout cruise,bad,2011,MSC Sinfonia,Msc,1.0,0.0,1.0
2063,dread,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2064,dread,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
2065,dreadful experience,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
2066,dream,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
2067,dreary port,bad,2011,MSC Splendida,Msc,1.0,0.0,1.0
2068,dress code,bad,2009,MSC Sinfonia,Msc,0.0,1.0,1.0
2069,dress code,good,2011,MSC Musica,Msc,0.0,1.0,1.0
2070,dress code,good,2012,MSC Splendida,Msc,1.0,0.0,1.0
2071,drink,good,2012,MSC Musica,Msc,0.0,1.0,1.0
2072,drink coupon book,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2073,drink coupons,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2074,drink menu,bad,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2075,drink menus,good,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2076,drink order,bad,2013,MSC Armonia,Msc,1.0,0.0,1.0
2077,drink orders,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
2078,drink package,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2079,drink packages,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2080,drink preferences,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2081,drink prices,good,2014,MSC Divina,Msc,0.0,2.0,2.0
2082,drink specials,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2083,drink station,bad,2012,MSC Lirica,Msc,1.0,0.0,1.0
2084,drink vouchers,good,2014,MSC Divina,Msc,0.0,2.0,2.0
2085,drinking companions,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2086,drinking fountain,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
2087,drinkmeal hut,bad,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2088,drinks,bad,2011,MSC Magnifica,Msc,0.0,1.0,1.0
2089,drinks,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
2090,drinks drinks,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
2091,drinks pacakages,good,2013,MSC Divina,Msc,1.0,0.0,1.0
2092,drinks package,bad,2011,MSC Splendida,Msc,0.0,1.0,1.0
2093,drinks package,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
2094,drinks package,bad,2013,MSC Lirica,Msc,0.0,1.0,1.0
