,Word,Rating,Year,Ship,Line,Negative,Positive,Total
1045,fascinating place,good,2012,MSC Musica,Msc,0.0,1.0,1.0
1046,fault msc,good,2011,MSC Orchestra,Msc,1.0,0.0,1.0
1047,favorite msc divina,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1048,favorite quiet places,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
1049,feeling msc,bad,2012,MSC Poesia,Msc,1.0,0.0,1.0
1050,fellow americans,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
1051,fellow cruise critic,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
1052,filthy cruise,bad,2012,MSC Opera,Msc,1.0,0.0,1.0
1053,final checkout,bad,2010,MSC Musica,Msc,1.0,0.0,1.0
1054,final dance,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
1055,finding email facilities,good,2014,MSC Preziosa,Msc,1.0,0.0,1.0
1056,fine dining,bad,2014,MSC Opera,Msc,0.0,1.0,1.0
1057,fine dining,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
1058,fine dining grade,good,2013,MSC Opera,Msc,0.0,1.0,1.0
1059,fine effort,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
1060,fine place,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
1061,finger food snacks,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
1062,firsttime cruiser,good,2011,MSC Splendida,Msc,0.0,1.0,1.0
1063,fish base,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
1064,fish yummy,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1065,fist fight,bad,2009,MSC Lirica,Msc,1.0,0.0,1.0
1066,fitness area,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1067,fitness center,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
1068,fitness room,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
1069,fitness room,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1070,flat screen,good,2014,MSC Divina,Msc,1.0,0.0,1.0
1071,flat screen tvs,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
1072,floor covers,bad,2008,MSC Musica,Msc,2.0,0.0,2.0
1073,floor la terrazzo,bad,2012,MSC Sinfonia,Msc,1.0,0.0,1.0
1074,floor managers,bad,2014,MSC Orchestra,Msc,1.0,0.0,1.0
1075,floortoceiling wall mirror,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
1076,floortoceiling wall mirror,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
1077,florida departures,good,2013,MSC Poesia,Msc,1.0,0.0,1.0
1078,florida panhandle lights,bad,2011,MSC Poesia,Msc,0.0,1.0,1.0
1079,fluffy towel robes,good,2012,MSC Divina,Msc,0.0,1.0,1.0
1080,folding glass shower,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1081,food areas,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
1082,food food,good,2014,MSC Preziosa,Msc,1.0,0.0,1.0
1083,food quality,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
1084,food quality,bad,2013,MSC Armonia,Msc,1.0,0.0,1.0
1085,food service,good,2011,MSC Orchestra,Msc,0.0,1.0,1.0
1086,food station,good,2011,MSC Splendida,Msc,1.0,0.0,1.0
1087,food wise,good,2012,MSC Divina,Msc,0.0,1.0,1.0
1088,foreign languages,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
1089,formal dining,bad,2010,MSC Poesia,Msc,0.0,1.0,1.0
1090,formal dining,good,2014,MSC Opera,Msc,0.0,1.0,1.0
1091,formal dining,good,2014,MSC Splendida,Msc,0.0,1.0,1.0
1092,formal dining room,bad,2010,MSC Poesia,Msc,0.0,1.0,1.0
1093,formal dining room,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1094,formal dining rooms,good,2011,MSC Splendida,Msc,0.0,1.0,1.0
1095,formal dining service,bad,2008,MSC Orchestra,Msc,0.0,1.0,1.0
1096,formal evenings,bad,2011,MSC Musica,Msc,1.0,0.0,1.0
1097,formal night,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
1098,formal nights,good,2011,MSC Magnifica,Msc,1.0,0.0,1.0
1099,formal nights,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1100,formal sitdown restaurant,good,2011,MSC Opera,Msc,0.0,1.0,1.0
1101,fort lauderdale,bad,2010,MSC Orchestra,Msc,0.0,1.0,1.0
1102,fort lauderdale,good,2009,MSC Orchestra,Msc,1.0,0.0,1.0
1103,frank sinatra,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1104,frank sinatra songs,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1105,frank sinatra tribute,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1106,free bottle,good,2010,MSC Splendida,Msc,0.0,1.0,1.0
1107,free breakfast,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
1108,free child places,good,2014,MSC Opera,Msc,0.0,1.0,1.0
1109,free cocktails,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1110,free coffeetea stations,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
1111,free drinks,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1112,free drinks,good,2013,MSC Opera,Msc,0.0,1.0,1.0
1113,free icecream,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
1114,free kids,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
1115,free milk,good,2011,MSC Magnifica,Msc,0.0,1.0,1.0
1116,free port shuttle,good,2013,MSC Orchestra,Msc,0.0,1.0,1.0
1117,free service,good,2008,MSC Orchestra,Msc,0.0,1.0,1.0
1118,free softserve ice,bad,2010,MSC Poesia,Msc,0.0,1.0,1.0
1119,free tea,bad,2012,MSC Armonia,Msc,0.0,1.0,1.0
1120,free upgrade,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1121,free water,bad,2012,MSC Musica,Msc,1.0,0.0,1.0
1122,french toast,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1123,frequent ship maps,good,2014,MSC Divina,Msc,1.0,0.0,1.0
1124,fresh air,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1125,fresh bread,good,2015,MSC Divina,Msc,0.0,1.0,1.0
1126,fresh bread rolls,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
1127,fresh fruit,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
1128,fresh garlic bread,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1129,fresh interesting appealing,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1130,freshly made range,good,2014,MSC Opera,Msc,0.0,1.0,1.0
1131,fried calamari,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
1132,friendly cabin steward,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1133,friendly italian cruise,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1134,friendly manner,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
1135,friendly member,bad,2012,MSC Splendida,Msc,0.0,1.0,1.0
1136,friendly people,good,2013,MSC Divina,Msc,0.0,1.0,1.0
1137,friendly service,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
1138,friendly staff,good,2012,MSC Splendida,Msc,0.0,2.0,2.0
1139,friendly staff,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
1140,friendly staff,good,2013,MSC Preziosa,Msc,0.0,1.0,1.0
1141,friendly staff member,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
1142,friendly staff members,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
1143,friendly steward,good,2012,MSC Divina,Msc,0.0,1.0,1.0
1144,friendly waiters,good,2013,MSC Opera,Msc,0.0,1.0,1.0
1145,friendly welcome,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
1146,frozen diner,bad,2010,MSC Orchestra,Msc,1.0,0.0,1.0
1147,fruit machines,good,2013,MSC Divina,Msc,0.0,1.0,1.0
1148,frustrated passengers,bad,2012,MSC Magnifica,Msc,1.0,0.0,1.0
1149,fully equiped gym,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
1150,fully equipped fitness,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
1151,fully stocked minibar,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1152,fun dancing,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1153,fun experience,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1154,fun games,good,2013,MSC Opera,Msc,0.0,1.0,1.0
1155,fun group,bad,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1156,fun things,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
1157,fun way,good,2013,MSC Armonia,Msc,0.0,1.0,1.0
1158,functional bathroom,good,2009,MSC Opera,Msc,0.0,1.0,1.0
1159,future cruise,good,2014,MSC Lirica,Msc,0.0,1.0,1.0
1160,future travel,good,2013,MSC Divina,Msc,0.0,1.0,1.0
1161,gala dinner nights,good,2011,MSC Splendida,Msc,0.0,1.0,1.0
1162,gala night,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1163,gala nights,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1164,galaxy disco restaurant,good,2015,MSC Divina,Msc,0.0,1.0,1.0
1165,gaming tables,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
1166,garden pool bar,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
1167,garlic pasta,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
1168,gdesserts,bad,2013,MSC Orchestra,Msc,1.0,0.0,1.0
1169,gelato poolside,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1170,gelato yummy,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1171,general attitude,bad,2012,MSC Magnifica,Msc,1.0,0.0,1.0
1172,general cruise ship,good,2009,MSC Orchestra,Msc,1.0,0.0,1.0
1173,general enjoyment,good,2010,MSC Splendida,Msc,0.0,1.0,1.0
1174,generally good weather,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
1175,generic format,bad,2013,MSC Armonia,Msc,1.0,0.0,1.0
1176,generous balcony,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
1177,genoa italy,good,2010,MSC Fantasia,Msc,0.0,1.0,1.0
1178,genuinely fabulous ship,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
1179,ghastly marble building,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
1180,glass bear bottles,good,2009,MSC Orchestra,Msc,1.0,0.0,1.0
1181,glass shower doors,good,2013,MSC Divina,Msc,0.0,1.0,1.0
1182,glass shower doors,good,2014,MSC Divina,Msc,0.0,2.0,2.0
1183,glitzy ship,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
1184,glum look,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
