,Word,Rating,Year,Ship,Line,Negative,Positive,Total
2546,common areas,bad,2013,MSC Divina,Msc,1.0,0.0,1.0
2547,common areas,bad,2013,MSC Orchestra,Msc,0.0,1.0,1.0
2548,common areas,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2549,common areas,good,2011,MSC Poesia,Msc,1.0,0.0,1.0
2550,common areas,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2551,common areas,good,2014,MSC Splendida,Msc,0.0,1.0,1.0
2552,common complaint,bad,2010,MSC Orchestra,Msc,1.0,0.0,1.0
2553,common courtesy,bad,2013,MSC Musica,Msc,0.0,1.0,1.0
2554,common practice,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2555,communication,bad,2009,MSC Lirica,Msc,1.0,0.0,1.0
2556,communication,bad,2009,MSC Poesia,Msc,1.0,0.0,1.0
2557,communication,bad,2012,MSC Splendida,Msc,1.0,0.0,1.0
2558,communication,good,2012,MSC Fantasia,Msc,1.0,0.0,1.0
2559,communication barriers,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2560,communication service,good,2013,MSC Armonia,Msc,1.0,0.0,1.0
2561,communications,bad,2013,MSC Musica,Msc,1.0,0.0,1.0
2562,community,bad,2010,MSC Musica,Msc,0.0,1.0,1.0
2563,companies,bad,2011,MSC Fantasia,Msc,1.0,0.0,1.0
2564,company,bad,2013,MSC Poesia,Msc,1.0,0.0,1.0
2565,company,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
2566,company,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2567,company,good,2014,MSC Lirica,Msc,1.0,0.0,1.0
2568,company incentives,bad,2011,MSC Sinfonia,Msc,0.0,1.0,1.0
2569,company representatives,bad,2009,MSC Sinfonia,Msc,1.0,0.0,1.0
2570,comparable size balcony,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
2571,comparably sized royal,bad,2015,MSC Divina,Msc,0.0,1.0,1.0
2572,comparative price,good,2009,MSC Fantasia,Msc,1.0,0.0,1.0
2573,compare,bad,2011,MSC Magnifica,Msc,1.0,0.0,1.0
2574,compere,good,2014,MSC Armonia,Msc,0.0,1.0,1.0
2575,competition msc,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
